name,tradingsymbol
GLOBUS SPIRITS,GLOBUSSPR
GLOSTER,GLOSTERLTD
GLOTTIS,GLOTTIS
G M BREWERIES,GMBREW
GUJARAT MINERAL DEV CORP,GMDCLTD
GMM PFAUDLER,GMMPFAUDLR
GMR AIRPORTS,GMRAIRPORT
GMR POW AND URBAN INFRA L,GMRP&UI
GNA AXLES,GNA
GUJ NAR VAL FER & CHEM L,GNFC
GOA CARBON,GOACARBON
GOCL CORPORATION,GOCLCORP
GO FASHION INDIA,GOCOLORS
GODAVARI BIOREFINERIES L,GODAVARIB
GODFREY PHILLIPS INDIA LT,GODFRYPHLP
GO DIGIT GENERAL INS,GODIGIT
GODREJ AGROVET,GODREJAGRO
GODREJ CONSUMER PRODUCTS,GODREJCP
GODREJ INDUSTRIES,GODREJIND
GODREJ PROPERTIES,GODREJPROP
GOKALDAS EXPORTS,GOKEX
GOKUL REFOILS & SOLV,GOKUL
GOKUL AGRO RESOURCES,GOKULAGRO
360ONEAMC - GOLD360,GOLD360
GOLDIAM INTERNATIONAL,GOLDIAM
AION-TECH SOLUTIONS,GOLDTECH
GOODLUCK INDIA,GOODLUCK
GOPAL SNACKS,GOPAL
GOYAL ALUMINIUMS,GOYALALUM
GODAWARI POW & ISP,GPIL
GUJARAT PIPAVAV PORT,GPPL
GPT HEALTHCARE,GPTHEALTH
GPT INFRAPROJECTS,GPTINFRA
GRANULES INDIA,GRANULES
GRAPHITE INDIA,GRAPHITE
GRASIM INDUSTRIES,GRASIM
GRAVITA INDIA,GRAVITA
GREAVES COTTON,GREAVESCOT
GREENLAM INDUSTRIES,GREENLAM
GREENPANEL INDUSTRIES,GREENPANEL
GREENPLY INDUSTRIES,GREENPLY
ORIENT GREEN POWER CO,GREENPOWER
GRINDWELL NORTON,GRINDWELL
G R INFRAPROJECTS,GRINFRA
GRM OVERSEAS,GRMOVER
THE GROB TEA COMPANY,GROBTEA
GROWWAMC - GROWWDEFNC,GROWWDEFNC
GROWWAMC - GROWWEV,GROWWEV
GROWWAMC - GROWWGOLD,GROWWGOLD
GROWWAMC - GROWWLIQID,GROWWLIQID
GROWWAMC - GROWWLOVOL,GROWWLOVOL
GROWWAMC - GROWWMOM50,GROWWMOM50
GROWWAMC - GROWWN200,GROWWN200
GROWWAMC - GROWWNET,GROWWNET
GROWWAMC - GROWWNIFTY,GROWWNIFTY
GROWWAMC - GROWWNXT50,GROWWNXT50
GROWWAMC - GROWWPOWER,GROWWPOWER
GROWWAMC - GROWWRAIL,GROWWRAIL
GROWWAMC - GROWWRLTY,GROWWRLTY
GROWWAMC - GROWWSLVR,GROWWSLVR
GRP,GRPLTD
GARDEN REACH SHIP&ENG,GRSE
GARWARE HI-TECH FILMS,GRWRHITECH
BIRLASLAMC - GSEC10ABSL,GSEC10ABSL
ICICIPRAMC - ICICI10GS,GSEC10IETF
ICICIPRAMC - ICICI5GSEC,GSEC5IETF
GUJ STATE FERT & CHEM,GSFC
GLOBAL SURFACES,GSLSU
GUJARAT STATE PETRO,GSPL
G-TEC JAINX EDUCATION,GTECJAINX
GTL,GTL
GTL INFRA.LTD,GTLINFRA
GTPL HATHWAY,GTPL
GUFIC BIOSCIENCES,GUFICBIO
GUJARAT ALKALIES & CHEM,GUJALKALI
GUJARAT GAS,GUJGASLTD
GUJARAT RAFFIA INDUST,GUJRAFFIA
GUJARAT THEMIS BIOSYN,GUJTHEM
GULF OIL LUB. IND.,GULFOILLUB
GP PETROLEUMS,GULFPETRO
GULSHAN POLYOLS,GULPOLY
GE POWER INDIA,GVPIL
GVP INFOTECH,GVPTECH
GE VERNOVA T&D INDIA,GVT&D
HINDUSTAN AERONAUTICS,HAL
HAPPIEST MINDS TECHNO,HAPPSTMNDS
HAPPY FORGINGS,HAPPYFORGE
HARDWYN INDIA,HARDWYN
HARIOM PIPE INDUSTRIES L,HARIOMPIPE
HARRISON MALAYALAM,HARRMALAYA
HARSHA ENGINEERS INT,HARSHA
HATHWAY CABLE & DATACOM,HATHWAY
HATSUN AGRO PRODUCT,HATSUN
HAVELLS INDIA,HAVELLS
SRI HAVISHA HOSP & INFR L,HAVISHA
HBL ENGINEERING,HBLENGINE
HB STOCKHOLDINGS,HBSL
HINDUSTAN CONSTRUCTION CO,HCC
HEALTHCARE GLOB. ENT.,HCG
HCL TECHNOLOGIES,HCLTECH
HDB FINANCIAL SERVICES L,HDBFS
HDFC AMC,HDFCAMC
HDFC BANK,HDFCBANK
HDFCAMC - HDFCBSE500,HDFCBSE500
HDFCAMC - HDFCGROWTH,HDFCGROWTH
HDFC LIFE INS CO,HDFCLIFE
HDFCAMC - HDFCLIQUID,HDFCLIQUID
HDFCAMC - HDFCLOWVOL,HDFCLOWVOL
HDFCAMC - HDFCMID150,HDFCMID150
HDFCAMC - HDFCMOMENT,HDFCMOMENT
HDFCAMC - HDFCNEXT50,HDFCNEXT50
HDFCAMC - HDFCNIF100,HDFCNIF100
HDFCAMC - HDFCNIFBAN,HDFCNIFBAN
HDFCAMC - HDFCNIFIT,HDFCNIFIT
HDFCAMC - HDFCNIFTY,HDFCNIFTY
HDFCAMC HDFCPSUBK,HDFCPSUBK
HDFCAMC - HDFCPVTBAN,HDFCPVTBAN
HDFCAMC - HDFCQUAL,HDFCQUAL
HDFCAMC - HDFCSENSEX,HDFCSENSEX
HDFCAMC - HDFCSILVER,HDFCSILVER
HDFCAMC - HDFCSML250,HDFCSML250
HDFCAMC - HDFCVALUE,HDFCVALUE
HEADS UP VENTURES,HEADSUP
DSPAMC - HEALTHADD,HEALTHADD
ICICIPRAMC - ICICIPHARM,HEALTHIETF
BIRLASLAMC - HEALTHY,HEALTHY
HEC INFRA PROJECTS,HECPROJECT
HEG,HEG
HEIDELBERGCEMENT (I),HEIDELBERG
HEMISPHERE PROP IND,HEMIPROP
HERANBA INDUSTRIES,HERANBA
HERCULES HOI.,HERCULES
HERITAGE FOODS,HERITGFOOD
HERO MOTOCORP,HEROMOTOCO
HESTER BIOSCIENCES,HESTERBIO
HEUBACH COLORANTS IND,HEUBACHIND
HEXA TRADEX,HEXATRADEX
HEXAWARE TECHNOLOGIES,HEXT
HFCL,HFCL
H.G.INFRA ENGINEERING,HGINFRA
HINDUJA GLOBAL SOLS.,HGS
HIKAL,HIKAL
HIGHWAY INFRASTRUCTURE L,HILINFRA
HILTON METAL FORGING,HILTON
HIMATSINGKA SEIDE,HIMATSEIDE
HINDALCO  INDUSTRIES ,HINDALCO
HINDUSTAN COMPOSITES,HINDCOMPOS
HINDCON CHEMICALS,HINDCON
HINDUSTAN COPPER,HINDCOPPER
HINDUSTAN OIL EXPLORATION,HINDOILEXP
HINDUSTAN PETROLEUM CORP,HINDPETRO
HINDUSTAN UNILEVER,HINDUNILVR
HINDWARE HME INOVATON,HINDWAREAP
HINDUSTAN ZINC,HINDZINC
HIND RECTIFIER,HIRECT
HISAR METAL IND.,HISARMETAL
HI-TECH PIPES,HITECH
HITECH CORPORATION,HITECHCORP
HLE GLASCOAT,HLEGLAS
HLV,HLVLTD
HMA AGRO INDUSTRIES,HMAAGRO
HINDUSTAN MEDIA VENT,HMVL
HINDUSTAN FOODS,HNDFDS
HOME FIRST FIN CO IND,HOMEFIRST
HONASA CONSUMER - MAMAEARTH,HONASA
HONEYWELL AUTOMATION IND,HONAUT
HONDA I POWER PRODUCT,HONDAPOWER
HP ADHESIVES,HPAL
HINDPRAKASH INDUSTRY,HPIL
HPL ELECTRIC & POWER,HPL
HIMADRI SPECIALITY CHEM L,HSCL
HUBTOWN,HUBTOWN
HSG & URBAN DEV CORPN,HUDCO
HUHTAMAKI INDIA,HUHTAMAKI
HYBRID FINANCIAL SERVICE,HYBRIDFIN
HYUNDAI MOTOR INDIA,HYUNDAI
ICE MAKE REFRIGERAT,ICEMAKE
ICICIPRAMC - BHARATIWIN,ICICIB22
ICICI BANK,ICICIBANK
ICICI LOMBARD GIC,ICICIGI
ICICI PRU LIFE INS CO,ICICIPRULI
INDO COUNT INDUSTRIES,ICIL
ICRA,ICRA
IDBI BANK,IDBI
VODAFONE IDEA,IDEA
IDEAFORGE TECHNO,IDEAFORGE
IDFC FIRST BANK,IDFCFIRSTB
BANDHANAMC - IDFNIFTYET,IDFNIFTYET
INDIAN ENERGY EXC,IEX
IFB AGRO INDUSTRIES,IFBAGRO
IFB INDUSTRIES,IFBIND
IFCI,IFCI
IFGL REFRACTORIES,IFGLEXPOR
IGARASHI MOTORS INDIA,IGARASHI
INDOGULF CROPSCIENCES,IGCL
INTERNATIO GEMM INS (I) L,IGIL
INDRAPRASTHA GAS,IGL
I G PETROCHEMICALS,IGPL
IIFL FINANCE,IIFL
IIFL CAPITAL SERVICES,IIFLCAPS
INDUSTRIAL INV TRUST,IITL
IKIO TECHNOLOGIES,IKIO
INVENTURUS KNOWLEDGE SO L,IKS
IMAGICAAWORLD ENT,IMAGICAA
INDIAN METALS & FERRO,IMFA
IND MOTOR PART & ACC,IMPAL
INCREDIBLE INDUSTRIES,INCREDIBLE
INDBANK MERCH BANK,INDBANK
INDEGENE,INDGN
THE INDIAN HOTELS CO.,INDHOTEL
THE INDIA CEMENTS,INDIACEM
INDIA GLYCOLS,INDIAGLYCO
INDIAMART INTERMESH,INDIAMART
INDIAN BANK,INDIANB
INDIAN CARD CLOTHING CO.,INDIANCARD
INDIAN HUME PIPE CO.,INDIANHUME
INDIA SHELTER FIN CORP L,INDIASHLTR
INTERGLOBE AVIATION,INDIGO
INDIGO PAINTS,INDIGOPNTS
INDIQUBE SPACES,INDIQUBE
INDIA NIPPON ELECT ,INDNIPPON
INDO AMINES,INDOAMIN
INDOCO REMEDIES,INDOCO
INDO FARM EQUIPMENT,INDOFARM
INDO RAMA SYNTHETICS,INDORAMA
INDOSTAR CAPITAL FIN,INDOSTAR
INDO TECH TRANSFORM,INDOTECH
INDO US BIOTECH,INDOUS
INDOWIND ENERGY,INDOWIND
INDRAPRASTHA MEDICAL CORP,INDRAMEDCO
IND SWIFT LABORATORIES LT,INDSWFTLAB
IND TERRAIN FASHIONS,INDTERRAIN
INDUSIND BANK,INDUSINDBK
INDUS TOWERS,INDUSTOWER
INFIBEAM AVENUES,INFIBEAM
INFOBEANS TECHNO.,INFOBEAN
ICICIPRAMC - ICICIINFRA,INFRAIETF
INFOSYS,INFY
INGERSOLL-RAND INDIA,INGERRAND
INNOVA CAPTAB,INNOVACAP
INOX GREEN ENERGY SER,INOXGREEN
INOX INDIA,INOXINDIA
INOX WIND,INOXWIND
INSECTICIDES (I),INSECTICID
INSPIRISYS SOLUTIONS,INSPIRISYS
INTELLECT DESIGN ARENA,INTELLECT
INTERARCH BLDNG SOLTN,INTERARCH
MIRAEAMC - INTERNET,INTERNET
INTL CONVEYORS,INTLCONV
INVENTURE GRO & SEC,INVENTURE
INDIAN OVERSEAS BANK,IOB
INDIAN OIL CORP,IOC
IOL CHEM AND PHARMA,IOLCP
ION EXCHANGE (INDIA),IONEXCHANG
IPCA LABORATORIES,IPCALAB
INDIA PESTICIDES,IPL
IRB INFRA DEV,IRB
IRCON INTERNATIONAL,IRCON
INDIAN RAIL TOUR CORP,IRCTC
INDIAN RENEWABLE ENERGY,IREDA
INDIAN RAILWAY FIN CORP L,IRFC
IRIS BUSINESS SERV,IRIS
IRIS CLOTHINGS,IRISDOREME
IRM ENERGY,IRMENERGY
INTRASOFT TECH.,ISFT
ISGEC HEAVY ENG,ISGEC
KOTAKMAMC - KOTAKIT,IT
ITC,ITC
ITC HOTELS,ITCHOTELS
INDIA TOUR. DEV. CO.,ITDC
ITI,ITI
ICICIPRAMC - ICICITECH,ITIETF
IVALUE INFOSOLUTIONS,IVALUE
IL&FS INVESTMENT MANAGERS,IVC
IVP,IVP
LE TRAVENUES TECHNOLOGY L,IXIGO
J & K BANK,J&KBANK
JAGRAN PRAKASHAN,JAGRAN
JAGSONPAL PHARMACEUTICALS,JAGSNPHARM
JAI BALAJI INDUSTRIES,JAIBALAJI
JAI CORP,JAICORPLTD
JAIN RESOURCE RECYCLING L,JAINREC
NANDANI CREATION,JAIPURKURT
JAMNA AUTO IND,JAMNAAUTO
JARO INS OF TEC MG N RE L,JARO
JASH ENGINEERING,JASH
JAYANT AGRO ORGANICS,JAYAGROGN
JAYASWAL NECO INDUSTR,JAYNECOIND
JAYSHREE TEA & INDUSTRIES,JAYSREETEA
J B CHEMICALS AND PHARMA,JBCHEPHARM
JBM AUTO,JBMA
JOHNSON CONTROLS HITACHI,JCHAC
JET FREIGHT LOGISTICS,JETFREIGHT
J.G.CHEMICALS,JGCHEM
JHS SVEND. LAB.,JHS
JINDAL PHOTO,JINDALPHOT
JINDAL POLY FILMS,JINDALPOLY
JINDAL SAW,JINDALSAW
JINDAL STEEL,JINDALSTEL
JINDAL DRILLING IND.,JINDRILL
JINDAL WORLDWIDE,JINDWORLD
JIO FIN SERVICES,JIOFIN
JAIN DVR EQUITY SHARES,JISLDVREQS
JAIN IRRIGATION SYSTEMS,JISLJALEQS
JK CEMENT,JKCEMENT
JKUMAR INFR.LTD.,JKIL
JINKUSHAL INDUSTRIES,JKIPL
JK LAKSHMI CEMENT,JKLAKSHMI
JK PAPER,JKPAPER
JK TYRE & INDUSTRIES,JKTYRE
JUPITER LIFE LINE HOSP L,JLHL
JULLUNDUR MOT AGENCY,JMA
JM FINANCIAL,JMFINANCIL
JNK INDIA,JNKINDIA
JOCIL,JOCIL
JIND POL INV & FIN CO,JPOLYINVST
JAIPRAKASH POWER VEN.,JPPOWER
JANA SMALL FIN BANK,JSFB
JINDAL STAINLESS,JSL
JEENA SIKHO LIFECARE,JSLL
JSW CEMENT,JSWCEMENT
JSW ENERGY,JSWENERGY
JSW HOLDINGS,JSWHL
JSW INFRASTRUCTURE,JSWINFRA
JSW STEEL,JSWSTEEL
JTEKT INDIA,JTEKTINDIA
JTL INDUSTRIES,JTLIND
JUBILANT FOODWORKS,JUBLFOOD
JUBILANT INGREVIA,JUBLINGREA
JUBILANT PHARMOVA,JUBLPHARMA
JUNIPER HOTELS,JUNIPER
JUSTDIAL,JUSTDIAL
JUPITER WAGONS,JWL
JYOTHY LABS,JYOTHYLAB
JYOTI CNC AUTOMATION,JYOTICNC
JYOTI STRUCTURES,JYOTISTRUC
KABRA EXTRUSION TECHNIK L,KABRAEXTRU
KAJARIA CERAMICS,KAJARIACER
KAKATIYA CEM SUGAR &IND L,KAKATCEM
SAI SILKS (KALAMANDIR) L,KALAMANDIR
KALPATARU,KALPATARU
KALYANI FORGE,KALYANIFRG
KALYAN JEWELLERS IND,KALYANKJIL
KAMAT HOTELS (I),KAMATHOTEL
KAMDHENU,KAMDHENU
KAMDHENU VENTURES,KAMOPAINTS
KANANI INDUSTRIES,KANANIIND
KANORIA CHEMICALS & INDUS,KANORICHEM
KANPUR PLASTIPACK,KANPRPLA
KANSAI NEROLAC PAINTS,KANSAINER
KAPSTON SERVICES,KAPSTON
KARUR VYSYA BANK,KARURVYSYA
KAYNES TECHNOLOGY IND,KAYNES
KCP,KCP
KCP SUGAR IND CORP,KCPSUGIND
KDDL,KDDL
KEC INTL.,KEC
KIRLOSKAR ELECTRIC CO,KECL
DSJ KEEP LEARNING,KEEPLEARN
KEI INDUSTRIES,KEI
KELLTON TECH SOL,KELLTONTEC
KERNEX MICROSYS(I),KERNEX
KESORAM INDUSTRIES,KESORAMIND
KEYNOTE FIN SERV,KEYFINSERV
KFIN TECHNOLOGIES,KFINTECH
KHADIM INDIA,KHADIM
KHAITAN CHEM & FERT,KHAICHEM
KHAITAN (INDIA)LTD.,KHAITANLTD
KHANDWALA SECURITIES,KHANDSE
KALYANI INVEST CO,KICL
KILITCH DRUGS INDIA,KILITCH
KRISHNA INST OF MED SCI L,KIMS
KIRI INDUSTRIES,KIRIINDUS
KIRLOSKAR BROTHERS,KIRLOSBROS
KIRLOSKAR OIL ENG,KIRLOSENG
KIRLOSKAR INDUSTRIES,KIRLOSIND
KIRLOSKAR PNEUMATIC COM L,KIRLPNU
KITEX GARMENTS,KITEX
KEWAL KIRAN CLOTHING,KKCL
KNOWLEDGE MARINE & EN W L,KMEW
K M SUGAR MILLS,KMSUGAR
KNR CONSTRU,KNRCON
KOHINOOR FOODS,KOHINOOR
KOKUYO CAMLIN,KOKUYOCMLN
KOLTE PATIL DEV.,KOLTEPATIL
KOPRAN,KOPRAN
KOTAK MAHINDRA BANK,KOTAKBANK
KOTHARI SUG & CHEM,KOTARISUG
KOTHARI PETROCHEM,KOTHARIPET
KOTHARI PRODUCTS,KOTHARIPRO
K.P. ENERGY,KPEL
KPI GREEN ENERGY,KPIGREEN
KALPATARU PROJECT INT,KPIL
KPIT TECHNOLOGIES,KPITTECH
KPR MILL,KPRMILL
KRBL,KRBL
KREBS BIOCHEMICALS & IND,KREBSBIO
KRIDHAN INFRA,KRIDHANINF
KRISHANA PHOSCHEM,KRISHANA
KRISHIVAL FOODS,KRISHIVAL
KRITI INDUSTRIES IND,KRITI
KRITIKA WIRES,KRITIKA
KRITI NUTRIENTS,KRITINUT
KRN HEAT EXCHANGE N REF L,KRN
KRONOX LAB SCIENCES,KRONOX
KROSS,KROSS
KRSNAA DIAGNOSTICS,KRSNAA
KRYSTAL INTEGRATED SER L,KRYSTAL
KSB,KSB
KAVERI SEED CO.,KSCL
KSHITIJ POLYLINE,KSHITIJPOL
KALYANI STEELS,KSL
KSOLVES INDIA,KSOLVES
KARNATAKA BANK,KTKBANK
KUANTUM PAPERS,KUANTUM
LAGNAM SPINTEX,LAGNAM
LORENZINI APPARELS,LAL
DR. LAL PATH LABS,LALPATHLAB
LAMBODHARA TEXTILES,LAMBODHARA
LANCOR HOLDINGS,LANCORHOL
LANDMARK CARS,LANDMARK
LA OPALA RG,LAOPALA
LATENT VIEW ANALYTICS,LATENTVIEW
LATTEYS INDUSTRIES,LATTEYS
LAURUS LABS,LAURUSLABS
LAXMI COTSPIN,LAXMICOT
LAXMI DENTAL,LAXMIDENTL
LAXMI INDIA FINANCE,LAXMIINDIA
LCC INFOTECH,LCCINFOTEC
LEMON TREE HOTELS,LEMONTREE
LEXUS GRANITO (INDIA),LEXUS
LAKSHMI FIN IND CORP,LFIC
LG BALAKRISHNAN & BROS,LGBBROSLTD
LG ELECTRONICS INDIA,LGEINDIA
LAXMI GOLDORNA HOUSE,LGHL
LIBAS CONSU PRODUCTS,LIBAS
LIBERTY SHOES,LIBERTSHOE
LIC HOUSING FINANCE,LICHSGFIN
LIFE INSURA CORP OF INDIA,LICI
LICNAMC - LICNMFET,LICNETFGSC
LICNAMC - LICNFENGP,LICNETFN50
LICNAMC - LICNFESGP,LICNETFSEN
LICNAMC - LICNFNHGP,LICNFNHGP
LICNAMC - LICNMID100,LICNMID100
LIKHITHA INFRASTRUC,LIKHITHA
LINC,LINC
LINCOLN PHARMA,LINCOLN
LINDE INDIA,LINDEINDIA
NIPPONAMC - LIQGRWBEES,LIQGRWBEES
MIRAEAMC - LIQUID,LIQUID
KOTAKMAMC - KOTAKLIQ,LIQUID1
DSPAMC - LIQUIDADD,LIQUIDADD
ICICIPRAMC - ICICILIQ,LIQUIDIETF
MIRAEAMC - LIQUIDPLUS,LIQUIDPLUS
SBIAMC - LIQUIDSBI,LIQUIDSBI
SHRIRAM - LIQUIDSHRI,LIQUIDSHRI
LLOYDS ENGG WORK,LLOYDSENGG
LLOYDS ENTERPRISES,LLOYDSENT
LLOYDS METALS N ENERGY L,LLOYDSME
LMW,LMW
LODHA DEVELOPERS,LODHA
LOKESH MACHINES,LOKESHMACH
SRI LOTUS DEVLPRS N RTY L,LOTUSDEV
LOVABLE LINGERIE,LOVABLE
MIRAEAMC - MANV30F,LOWVOL
KOTAKMAMC - KOTAKLOVOL,LOWVOL1
LOYAL TEXTILE MILLS,LOYALTEX
LANDMARK PR.DEV.CO.LTD,LPDC
LARSEN & TOUBRO,LT
L&T FINANCE,LTF
LT FOODS,LTFOODS
ZERODHAAMC - LTGILTCASE,LTGILTCASE
LTIMINDTREE,LTIM
L&T TECHNOLOGY SER.,LTTS
LUMAX INDUSTRIES,LUMAXIND
LUMAX AUTO TECH,LUMAXTECH
LUPIN,LUPIN
LUX INDUSTRIES,LUXIND
LAXMI ORGANIC INDUS,LXCHEM
LYKA LABS,LYKALABS
LYPSA GEMS & JEWEL,LYPSAGEMS
MAHINDRA & MAHINDRA,M&M
M&M FIN. SERVICES,M&MFIN
MAAN ALUMINIUM,MAANALU
MACPOWER CNC MACHINES,MACPOWER
MADHAV MARBLE & GRANITE,MADHAV
MADHUCON PROJECTS,MADHUCON
MADRAS FERTILISERS,MADRASFERT
MIRAEAMC - MAFANG,MAFANG
MAGADH SUGAR & ENERGY,MAGADSUGAR
MAGNUM VENTURES,MAGNUM
BANK OF MAHARASHTRA,MAHABANK
MAHA RASHTRA APEX COPR. L,MAHAPEXLTD
MAHINDRA EPC IRRIG,MAHEPC
MAHESHWARI LOGISTICS,MAHESHWARI
MIRAEAMC - MAHKTECH,MAHKTECH
MAHINDRA LIFESPACE DEVLTD,MAHLIFE
MAHINDRA LOGISTIC,MAHLOG
MAHARASHTRA SCOOTERS,MAHSCOOTER
MAHARASHTRA SEAMLESS,MAHSEAMLES
MAITHAN ALLOYS,MAITHANALL
MALLCOM (INDIA),MALLCOM
MALU PAPER MILLS,MALUPAPER
MAMATA MACHINERY,MAMATA
MAN COAT METAL & IND,MANAKCOAT
MANAKSIA,MANAKSIA
MANAKSIA STEELS,MANAKSTEEL
MANALI PETROCHEMICALS LT,MANALIPETC
MANAPPURAM FINANCE,MANAPPURAM
MANBA FINANCE,MANBA
MANGAL CREDIT N FINCORP L,MANCREDIT
MANGALAM DRUG & CHEM,MANGALAM
MANG.CHEM.FERT.LTD,MANGCHEFER
MANGALAM CEMENT,MANGLMCEM
MAN INDUSTRIES (I),MANINDS
MAN INFRA,MANINFRA
MANKIND PHARMA,MANKIND
MANOMAY TEX INDIA,MANOMAY
MANORAMA INDUSTRIES,MANORAMA
MANGALAM ORGANICS,MANORG
NIPPONAMC - MANUFGBEES,MANUFGBEES
VEDANT FASHIONS,MANYAVAR
C.E. INFO SYSTEMS,MAPMYINDIA
MARAL OVERSEAS,MARALOVER
MARATHON NXTGEN REALT,MARATHON
MARICO,MARICO
MARINE ELECTRICAL (I),MARINE
MARKOLINES PAVEMENT TEC L,MARKOLINES
MARKSANS PHARMA,MARKSANS
MARUTI SUZUKI INDIA,MARUTI
MAS FINANCIAL SERV,MASFIN
MASK INVESTMENTS,MASKINVEST
MIRAEAMC - MASPTOP50,MASPTOP50
MASTEK,MASTEK
MASTER TRUST,MASTERTR
MATRIMONY.COM,MATRIMONY
MAWANA SUGARS,MAWANASUG
MAX ESTATES,MAXESTATES
MAX HEALTHCARE INS,MAXHEALTH
MAX INDIA,MAXIND
MAYUR UNIQUOTERS,MAYURUNIQ
MAZDA,MAZDA
MAZAGON DOCK SHIPBUIL,MAZDOCK
MADHYA BHARAT AGRO P.,MBAPL
M AND B ENGINEERING,MBEL
MBL INFRASTRUCTURE,MBLINFRA
MAGELLANIC CLOUD,MCLOUD
MULTI COMMODITY EXCHANGE,MCX
GLOBAL HEALTH,MEDANTA
MEDI ASSIST HEALTH SER L,MEDIASSIST
MEDICAMEN BIOTECH,MEDICAMEQ
MEDPLUS HEALTH SERV,MEDPLUS
MEGASOFT,MEGASOFT
MEGASTAR FOODS,MEGASTAR
MANGAL ELECTRICAL IND L,MEIL
MENON BEARINGS,MENONBE
MIRAEAMC - METAL,METAL
METRO BRANDS,METROBRAND
METROPOLIS HEALTHCARE,METROPOLIS
MAHALAXMI FABRIC MILLS LT,MFML
MAX FINANCIAL SERV,MFSL
MANGALAM GLOBAL ENT,MGEL
MAHANAGAR GAS,MGL
MAHALAXMI RUBTECH,MHLXMIRU
MAHINDRA HOLIDAYS,MHRIL
MIC ELECTRONICS,MICEL
KOTAKMAMC - MID150,MID150
KOTAKMAMC - KOTAKMID50,MIDCAP
ICICIPRAMC - ICICIM150,MIDCAPIETF
MISHRA DHATU NIGAM,MIDHANI
MIRAEAMC - MIDSMALL,MIDSMALL
MINDA CORPORATION,MINDACORP
MINDTECK (INDIA),MINDTECK
MIRZA INTERNATIONAL LIMIT,MIRZAINT
MITCON CON & ENG SER,MITCON
MITTAL LIFE STYLE,MITTAL
M K PROTEINS,MKPL
MM FORGINGS,MMFL
MMP INDUSTRIES,MMP
MMTC,MMTC
KOTAKMAMC - KOTAKMNC,MNC
MOTILALAMC - MOALPHA50,MOALPHA50
ONE MOBIKWIK SYSTEMS,MOBIKWIK
MOTILALAMC - MOCAPITAL,MOCAPITAL
MOTILALAMC - MODEFENCE,MODEFENCE
MODI RUBBER,MODIRUBBER
MODISON,MODISONLTD
MODERN THREADS INDIA,MODTHREAD
MOTILALAMC - MOENERGY,MOENERGY
MOTILALAMC - MOGOLD,MOGOLD
MOTILALAMC - G5,MOGSEC
MOTILALAMC - MOHEALTH,MOHEALTH
MOIL,MOIL
MOTILALAMC - MOINFRA,MOINFRA
MOKSH ORNAMENTS,MOKSH
MEGHMANI ORGANICS,MOL
MOLD-TEK TECHNOLOGIES,MOLDTECH
MOLD-TEK PACKAGING,MOLDTKPAC
MOTILALAMC - MOLOWVOL,MOLOWVOL
ICICIPRAMC - ICICIMOM30,MOM30IETF
BIRLASLAMC - MOMENTUM,MOMENTUM
KOTAKMAMC - MOMENTUM30,MOMENTUM30
MOTILALAMC - MOMENTUM50,MOMENTUM50
MOTILALAMC - MOMGF,MOMGF
MOTILALAMC - MOMIDMTM,MOMIDMTM
MOTILALAMC - MOMOMENTUM,MOMOMENTUM
MOTILALAMC - MON50EQUAL,MON50EQUAL
MONARCH NETWORTH CAP,MONARCH
MOTILALAMC - MONEXT50,MONEXT50
MONEYBOXX FINANCE,MONEYBOXX
MOTILALAMC - MONIFTY100,MONIFTY100
MOTILALAMC - MONIFTY500,MONIFTY500
MOTILALAMC - MONQ50,MONQ50
MONTE CARLO FASHIONS,MONTECARLO
MOTILALAMC - MOPSE,MOPSE
MOTILALAMC - MOQUALITY,MOQUALITY
MOTILALAMC - MOREALTY,MOREALTY
MOREPEN LAB.,MOREPENLAB
MOSCHIP TECHNOLOGIES,MOSCHIP
MOTILALAMC - MOSILVER,MOSILVER
MOTILALAMC - MOSMALL250,MOSMALL250
SAMVRDHNA MTHRSN INTL,MOTHERSON
MOTILAL OSWAL FIN,MOTILALOFS
MOTISONS JEWELLERS,MOTISONS
MOTOR & GENERAL FINANCE L,MOTOGENFIN
MOTILALAMC - MOTOUR,MOTOUR
MOTILALAMC - MOVALUE,MOVALUE
MPHASIS,MPHASIS
MPS,MPSLTD
MRF,MRF
MRPL,MRPL
KOTAKMAMC - MSCIINDIA,MSCIINDIA
MSP STEEL & POWER,MSPL
MSTC,MSTCLTD
MOTHERSON SUMI WRNG IND L,MSUMI
MTAR TECHNOLOGIES,MTARTECH
MAHANAGAR TELEPHONE NIGAM,MTNL
MUFIN GREEN FINANCE,MUFIN
CREDO BRANDS MARKETING L,MUFTI
MUKAND,MUKANDLTD
MUKKA PROTEINS,MUKKA
MUKTA ARTS,MUKTAARTS
MIRAEAMC - MULTICAP,MULTICAP
MUNJAL AUTO IND.,MUNJALAU
MUNJAL SHOWA,MUNJALSHOW
MURUDESHWAR CERAMICS,MURUDCERA
MUTHOOT CAP SERV,MUTHOOTCAP
MUTHOOT FINANCE,MUTHOOTFIN
MUTHOOT MICROFIN,MUTHOOTMF
MANOJ VAIBHAV GEM N JEW L,MVGJL
MANGALAM WORLDWIDE,MWL
NAGARJUN FERT AND CHE,NAGAFERT
NAGREEKA EXPORTS,NAGREEKEXP
NAHAR CAP & FIN.,NAHARCAP
NAHAR INDS ENT,NAHARINDUS
NAHAR POLY FILMS,NAHARPOLY
